id,peso,entrada_tsotsil,tipo_abreviado,tipo_palabra,categoria_general,traduccion_espanol,uso_o_ejemplo,region_abreviada,region,vease,nota_parentesis,transcripcion_original
5284,167,ta xmeltsaj,vi,verbo intransitivo,verbo,"se compone, se mejora",Ta xmeltsaj xa li jchamele.,,,meltsanel,,"ta xmeltsaj vi se compone, se mejora, se recupera, convalece. Ta xmeltsaj xa li jchamele. El enfermo se está mejorando. Véase meltsanel"
5285,167,ta xmetsi,vi,verbo intransitivo,verbo,se acuesta: acostarse. Ta,Ta xmetsi ta balumil li jyacubele.,,,metsel,,ta xmetsi vi se acuesta: acostarse. Ta xmetsi ta balumil li jyacubele. El borracho se va a acostar en el suelo. Véase metsel
5286,167,ta xme'anaj,vi,verbo intransitivo,verbo,"está triste, pena",Li querem lee ta xme'anaj yu'un chamem sme!.,,,"me'on ta xme'an-oc', ta xme'anal-oc', ta",,"ta xme'anaj vi está triste, pena, recuerda: recordar. Li querem lee ta xme'anaj yu'un chamem sme!. ta xme'an-oc' Ese niño está triste porque murió su mamá. Véase me'on ta xme'an-oc', ta xme'anal-oc', ta"
5287,168,xme'an-ti'van,vi,verbo intransitivo,verbo,aulla ta,,Ch'en,Chenalhó,me'on,,xme'an-ti'van vi aulla Ch'en ta xme'on-oc! Véase me'on
5288,168,ta xmetin,vi,verbo intransitivo,verbo,avanza (una enfermedad).,,,,me'inel,una enfermedad,ta xmetin vi avanza (una enfermedad). Mi mu xapoxta aba ta orae ta xme'in li achamele. Si no te curas ahora la enfermedad avanzará. Véase me'inel
5289,168,ta xme'uaj,vi,verbo intransitivo,verbo,maulla. Li bolome,Li bolome ime'uaj tajmec sjunul actubal.,,,,,ta xme'uaj vi maulla. Li bolome ime'uaj tajmec sjunul actubal. El gato maulló toda la noche.
5290,168,ta xmilolaj,vi,verbo intransitivo,verbo,"mata (gallinas, res",,,,milel,"gallinas, res, etc.","ta xmilolaj vi mata (gallinas, res, etc.) Véase milel"
5291,168,ta xmilvan,vi,verbo intransitivo,verbo,mata (persona). Oy ep,Oy ep buch'utic ta xmilvanic.,,,milel,persona,ta xmilvan vi mata (persona). Oy ep buch'utic ta xmilvanic. Hay muchas personas que matan a sus semejantes. Véase milel
5292,168,ta xmixmix-<'opoj,,,variante dialectal,murmura,,Zin,Zinacantán,ta stsajtsaj c'opoj,,ta xmixmix-<'opoj Zin murmura Véase ta stsajtsaj c'opoj
5293,168,ta xmochi,vi,verbo intransitivo,verbo,se acuesta: acostarse,,,,mochol ta xmochi; ta xmetsi; ta xpuch'i; ta xta'i,,"ta xmochi vi se acuesta: acostarse p.ej. un perro Véase mochol ta xmochi Ch/en se acuesta: acostarse, se postra Véase ta xmetsi; ta xpuch'i; ta xta'i"
